Product,Image,URL,Energiaväärtus (kJ),Energiaväärtus (kcal),Rasvad (g),millest küllastunud rasvhapped (g),Süsivesikud (g),millest suhkrud (g),Kiudained (g),Valgud (g),Sool (g),Category
DeLuxe McMuffin™ sealihaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0011_McD_web2021_Beakfast-Muffin_Pork_DeLuxe.jpg,https://mcdonalds.ee/tooted/deluxe-mcmuffin-sealihaga/,1571,376,21.0,8.5,28,3.2,3.0,18.0,1.8,Hommikueine
Kahekordne DeLuxe McMuffin™ sealihaga,https://mcdonalds.ee/wp-content/uploads/2019/07/0000s_0009_McD_web2021_Beakfast-Muffin-DoublePorkDeLuxe.jpg,https://mcdonalds.ee/tooted/kahekordne-deluxe-mcmuffin-sealihaga/,2132,511,32,12,28,4,2.0,28,2.60,Hommikueine
Big Mac®,https://mcdonalds.ee/wp-content/uploads/2025/04/web_BigMac25.png,https://mcdonalds.ee/tooted/big-mac-3/,,,,,,,,,,Burgerid Ja Vrapid
Grand Big Mac®,https://mcdonalds.ee/wp-content/uploads/2025/04/web_GrandBigMac25.png,https://mcdonalds.ee/tooted/grand-big-mac/,2925,700,39,15,50,11.9,3.4,35,3.3,Burgerid Ja Vrapid
Mac Jr.®,https://mcdonalds.ee/wp-content/uploads/2025/04/web_JuniorMac25.png,https://mcdonalds.ee/tooted/mac-jr/,1856,444,23,8,38,9.8,2.7,21,2.1,Burgerid Ja Vrapid
McWrap™ kalaga,https://mcdonalds.ee/wp-content/uploads/2024/05/web_Wrap24-Fish.png,https://mcdonalds.ee/tooted/mcwrap-kalaga/,1749,417,18,4.7,46,3.4,3.0,18,2.0,Burgerid Ja Vrapid
McWrap™ veiselihaga,https://mcdonalds.ee/wp-content/uploads/2024/05/web_Wrap24-Beef.png,https://mcdonalds.ee/tooted/mcwrap-veiselihaga/,2462,590,36,11,40,4,2,26,2,Burgerid Ja Vrapid
McCrispy®,https://mcdonalds.ee/wp-content/uploads/2023/10/web_McCrispy-1.png,https://mcdonalds.ee/tooted/mccrispy/,2241,535,25,2.4,56,12.9,2.3,21,2.3,Burgerid Ja Vrapid
Big Tasty™,https://mcdonalds.ee/wp-content/uploads/2019/07/0001s_0013_McD_web2021_BigTasty.jpg,https://mcdonalds.ee/tooted/big-tasty/,2841,681,42,18,36,7.6,2.5,39,1.8,Burgerid Ja Vrapid
Tasty Jr.™,https://mcdonalds.ee/wp-content/uploads/2021/08/McD_web2021_TastyJR.png,https://mcdonalds.ee/tooted/tasty-jr/,1504,360,18,7.6,32,6.8,2.7,16,1.4,Bestsellerid
Kahekordne Big Tasty™,https://mcdonalds.ee/wp-content/uploads/2019/07/0001s_0008_McD_web2021_DoubleBigTasty.jpg,https://mcdonalds.ee/tooted/kahekordne-big-tasty/,4361,1047,70,30,37,8.3,2.6,66,2.6,Burgerid Ja Vrapid
Kanaburger,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Chickenburger.png,https://mcdonalds.ee/tooted/kanaburger/,1371,327,14,2.0,37,5.5,2.8,11,1.4,Bestsellerid
Hamburger,https://mcdonalds.ee/wp-content/uploads/2021/08/McD_web2021_Hamburger.png,https://mcdonalds.ee/tooted/hamburger/,1061,252,8.9,3.5,29,7.0,1.9,13,1.1,Bestsellerid
Juustuburger,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web22_Chesseburger.png,https://mcdonalds.ee/tooted/juustuburger/,1264,301,13,6.1,30,7.5,1.9,16,1.6,Bestsellerid
DeLuxe veiseburger,https://mcdonalds.ee/wp-content/uploads/2023/01/web_Deluxe-Beef-burger.png,https://mcdonalds.ee/tooted/deluxe-veiseburger/,1576,376,18,6,36,8,3,17,2,Edap Products
DeLuxe kanaburger,https://mcdonalds.ee/wp-content/uploads/2023/01/web_Deluxe-Chickenburger.png,https://mcdonalds.ee/tooted/deluxe-kanaburger/,1739,415,19,5,44,8,3,16,2,Edap Products
Kahekordne juustuburger,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web22_DoubleChesseburger.png,https://mcdonalds.ee/tooted/kahekordne-juustuburger/,1863,446,23,12,31,8.1,2.1,26,2.4,Burgerid Ja Vrapid
McRoyal®,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_McRoyal-03.png,https://mcdonalds.ee/tooted/mcroyal/,2219,530,27,14,38,10,2,32,3,Burgerid Ja Vrapid
Kahekordne Big Tasty™ peekoniga,https://mcdonalds.ee/wp-content/uploads/2019/07/0001s_0007_McD_web2021_DoubleBigTastyBacon.jpg,https://mcdonalds.ee/tooted/kahekordne-big-tasty-peekoniga/,4491,1078,72,31,37,8.3,2.6,68,2.8,Burgerid Ja Vrapid
Big Tasty™  peekoniga,https://mcdonalds.ee/wp-content/uploads/2019/07/0001s_0012_McD_web2021_BigTastyBaconi.jpg,https://mcdonalds.ee/tooted/big-tasty-peekoniga/,2972,712,44,19,36,7.6,2.5,41,2.0,Burgerid Ja Vrapid
McWrap™ kana ja peekoniga,https://mcdonalds.ee/wp-content/uploads/2021/08/McD_web2021_ChickenWrap.png,https://mcdonalds.ee/tooted/mcwrap-kana-ja-peekoniga/,2344,560,26,5.4,54,5.4,4.6,25,2.7,Burgerid Ja Vrapid
Filet-o-Fish™,https://mcdonalds.ee/wp-content/uploads/2019/07/0001s_0004_McD_web2021_Filet-O-Fish.jpg,https://mcdonalds.ee/tooted/filet-o-fish/,1433,342,14,2.7,37,5.6,2.6,15,1.5,Burgerid Ja Vrapid
McChicken™,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_McChicken.png,https://mcdonalds.ee/tooted/mcchicken/,1838,438,17,2.0,49,8.2,3.1,21,1.9,Burgerid Ja Vrapid
Õunaviilud,https://mcdonalds.ee/wp-content/uploads/2019/07/0007s_0006_McD_web2021_AppleSlices.jpg,https://mcdonalds.ee/tooted/ounaviilud/,224,54,0.4,0.1,13,12,1.4,0.1,0.0,Salat
Caesari salat kanaga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_CrispyChicken-salads.png,https://mcdonalds.ee/tooted/caesari-salat-kanaga/,1354,324,17,5.5,17,3,3.6,24,1.5,Salat
Aedviljasalat,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Side-Salads.png,https://mcdonalds.ee/tooted/aedviljasalat/,67,16,0.2,,1.9,1.3,1.5,0.8,0.06,Salat
Vürtsikad Chicken McNuggets™ 4 tk,https://mcdonalds.ee/wp-content/uploads/2023/07/Web_Spicy4McNuggets_salv-1.png,https://mcdonalds.ee/tooted/vurtsikad-chicken-mcnuggets-4-tk/,780,186,10,0.9,13,0.5,0.5,11,0.8,Suupisted
Suured McShaker™ paprikamaitselised friikartulid,https://mcdonalds.ee/wp-content/uploads/2025/05/web2021_McShakerFries.png,https://mcdonalds.ee/tooted/suured-mcshaker-paprikamaitselised-friikartulid/,1848,442,21,2.0,56,1.0,5.5,5.4,1.4,Suupisted
Keskmised McShaker™ paprikamaitselised friikartulid,https://mcdonalds.ee/wp-content/uploads/2025/05/web2021_McShakerFries.png,https://mcdonalds.ee/tooted/keskmised-mcshaker-paprikamaitselised-friikartulid/,1412,338,16,1.5,43,0.9,4.2,4.1,1.14,Suupisted
Tulised kanatiivad 5 tk,https://mcdonalds.ee/wp-content/uploads/2025/03/web_HotChickenWings-5.png,https://mcdonalds.ee/tooted/tulised-kanatiivad-5-tk/,2546,611,40,8.6,23,1.7,0.9,79,2.8,Suupisted
Tulised kanatiivad 3 tk,https://mcdonalds.ee/wp-content/uploads/2025/03/web_HotChickenWings-3.png,https://mcdonalds.ee/tooted/tulised-kanatiivad-3-tk/,1527,366,24,5.2,14,1,0.5,24,1.7,Suupisted
"Krõbedad kanapalad, 5 tk",https://mcdonalds.ee/wp-content/uploads/2024/04/web_ChickenStrips-5.png,https://mcdonalds.ee/tooted/krobedad-kanapalad-5-tk/,2749,657,34,4.6,47,0.5,1.8,39,3.0,Suupisted
